net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VREG,63,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,45.04,8.4,45.04,5.35
VREG,51,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,17.14,8.4,17.14,5.35
VREG,59,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,35.74,8.4,35.74,5.35
VREG,42,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,44.19,9.4,44.19,9.565
VREG,2,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,49.465,5.082,49.465,5.165
VREG,47,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,7.84,8.4,7.84,5.35
VREG,26,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,25.59,9.532,25.59,9.565
VREG,34,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,34.89,9.532,34.89,9.565
VREG,20,Metal1,metal,0.3,0,9.4144e-06,9.4144e-06,9.4144e-06,1.6193e-04,0.0581,0.0,0.0,0.0581,avg,ok,16.29,9.4,16.29,9.565
VREG,155,Metal2,metal,0.36,0,2.1940e-05,2.1940e-05,2.1940e-05,3.8864e-04,0.0565,0.0,0.0,0.0565,avg,ok,34.77,11.7,34.82,11.45
VREG,156,Metal2,metal,0.36,0,2.1940e-05,2.1940e-05,2.1940e-05,3.8864e-04,0.0565,0.0,0.0,0.0565,avg,ok,34.89,10.475,34.82,11.45
VSS,73,Metal2,metal,2.0,0,1.1856e-04,1.1856e-04,1.1856e-04,2.1591e-03,0.0549,0.0,0.0,0.0549,avg,ok,21.0,-2.15,22.5,-2.15
VSS,74,Metal2,metal,2.0,0,1.1856e-04,1.1856e-04,1.1856e-04,2.1591e-03,0.0549,0.0,0.0,0.0549,avg,ok,24.25,-2.15,22.5,-2.15
VSS,26,Metal1,metal,2.02,0,5.6491e-05,5.6491e-05,5.6491e-05,1.0903e-03,0.0518,0.0,0.0,0.0518,avg,ok,11.25,-2.14,9.5,-2.14
