net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VSS,28,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,27.635,2.435,27.635,-1.13
VSS,7,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,32.64,-0.065,32.64,-1.13
VSS,20,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,9.035,2.435,9.035,-1.13
VSS,3,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,14.04,-0.065,14.04,-1.13
VSS,1,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,4.74,-0.065,4.74,-1.13
VSS,5,Metal1,metal,0.3,0,1.3149e-05,1.3149e-05,1.3149e-05,1.6193e-04,0.0812,0.0,0.0,0.0812,avg,ok,23.34,-0.065,23.34,-1.13
VREG,151,Metal2,metal,0.13,0,1.1282e-05,1.1282e-05,1.1282e-05,1.4034e-04,0.0804,0.0,0.0,0.0804,avg,ok,49.565,4.918,49.565,5.0
VREG,137,Metal2,metal,0.2,0,1.7195e-05,1.7195e-05,1.7195e-05,2.1591e-04,0.0796,0.0,0.0,0.0796,avg,ok,49.465,5.133,49.4,5.1
VREG,138,Metal2,metal,0.2,0,1.7195e-05,1.7195e-05,1.7195e-05,2.1591e-04,0.0796,0.0,0.0,0.0796,avg,ok,49.4,5.05,49.4,5.1
VREG,28,Metal1,metal,0.33,0,1.3836e-05,1.3836e-05,1.3836e-05,1.7813e-04,0.0777,0.0,0.0,0.0777,avg,ok,25.59,9.532,25.59,9.5
VREG,4,Metal1,metal,0.33,0,1.3836e-05,1.3836e-05,1.3836e-05,1.7813e-04,0.0777,0.0,0.0,0.0777,avg,ok,49.465,5.082,49.465,5.0
VREG,36,Metal1,metal,0.33,0,1.3836e-05,1.3836e-05,1.3836e-05,1.7813e-04,0.0777,0.0,0.0,0.0777,avg,ok,34.89,9.532,34.89,9.5
VREG,145,Metal2,metal,0.165,0,1.3396e-05,1.3396e-05,1.3396e-05,1.7813e-04,0.0752,0.0,0.0,0.0752,avg,ok,49.4,4.918,49.5,4.918
VREG,146,Metal2,metal,0.165,0,1.3396e-05,1.3396e-05,1.3396e-05,1.7813e-04,0.0752,0.0,0.0,0.0752,avg,ok,49.565,4.918,49.5,4.918
VREG,107,Metal2,metal,0.33,0,2.4072e-05,2.4072e-05,2.4072e-05,3.5625e-04,0.0676,0.0,0.0,0.0676,avg,ok,6.912,9.4,7.0,9.4
VREG,108,Metal2,metal,0.33,0,2.4072e-05,2.4072e-05,2.4072e-05,3.5625e-04,0.0676,0.0,0.0,0.0676,avg,ok,7.078,9.4,7.0,9.4
VSS,31,Metal1,metal,7.5286,0,2.7397e-04,2.7397e-04,2.7397e-04,4.0637e-03,0.0674,0.0,0.0,0.0674,avg,ok,33.179,-1.3,36.864,-1.13
VREG,7,Metal1,metal,0.16,0,5.6533e-06,5.6533e-06,5.6533e-06,8.6364e-05,0.0655,0.0,0.0,0.0655,avg,ok,6.99,9.782,6.92,9.565
VREG,5,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,49.465,4.918,49.465,4.835
VREG,42,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,44.19,9.4,44.19,9.565
VREG,20,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,16.29,9.4,16.29,9.565
VREG,51,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,17.14,8.44,17.14,5.35
VREG,59,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,35.74,8.44,35.74,5.35
VREG,63,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,45.04,8.44,45.04,5.35
VREG,55,Metal1,metal,0.3,0,9.2242e-06,9.2242e-06,9.2242e-06,1.6193e-04,0.057,0.0,0.0,0.057,avg,ok,26.44,8.44,26.44,5.35
